DSH_target,charge_target,P_cond [MPa],P_eva [MPa],Q_cond [kW],Q_eva [kW],W_comp [kW],COP_H,COP_R,mtot [kg],mdot [kg/s],DSH [K],DSC [K]
9.526315789,0.431578947,2.844437355,1.198397077,9.280809072,7.745682165,1.58188048,5.866947084,4.896502777,0.030646528,0.030646528,9.526315789,4.007221305
2.421052632,0.526315789,2.935440922,1.194100394,9.636093774,8.113124,1.642464974,5.866848867,4.939602443,0.032098758,0.032098758,2.421052632,8.805171425
1.947368421,0.526315789,2.937276073,1.193838491,9.641359659,8.122235061,1.643564071,5.866129487,4.941842673,0.032206509,0.032206509,1.947368421,8.800776937
1.473684211,0.526315789,2.938979281,1.193574727,9.646558529,8.131391108,1.64456671,5.865714337,4.944397244,0.032315718,0.032315718,1.473684211,8.793881096
1,0.526315789,2.940823369,1.193308448,9.651881148,8.140603039,1.645653227,5.865075942,4.946730519,0.032426409,0.032426409,1,8.788548279
3.368421053,0.526315789,2.931386443,1.193724221,9.620095262,8.089752114,1.640235402,5.865069884,4.93206774,0.031862834,0.031862834,3.368421053,8.817990155
3.842105263,0.526315789,2.929466305,1.193709896,9.613256255,8.079189396,1.639131113,5.864848868,4.928946397,0.031751889,0.031751889,3.842105263,8.822946957
4.315789474,0.526315789,2.927559694,1.193692665,9.606447947,8.068669201,1.638028838,5.864639086,4.925840751,0.031642269,0.031642269,4.315789474,8.827595401
4.789473684,0.526315789,2.925666392,1.193672535,9.599670552,8.058191488,1.636928759,5.864440035,4.922750267,0.031533939,0.031533939,4.789473684,8.8319455
5.263157895,0.526315789,2.923786167,1.193649523,9.592924129,8.047755975,1.635831037,5.864251203,4.919674338,0.031426865,0.031426865,5.263157895,8.836006901
5.736842105,0.526315789,2.921918771,1.193623667,9.586208613,8.0373621,1.634735805,5.864072091,4.916612258,0.031321011,0.031321011,5.736842105,8.839788592
10,0.478947368,2.869990307,1.190095096,9.392583371,7.834972711,1.601957145,5.863192658,4.89087535,0.030336162,0.030336162,10,6.859166143
10,0.431578947,2.841851535,1.196249113,9.26487513,7.726636167,1.580898553,5.86051212,4.887496515,0.030495483,0.030495483,10,4.052889583
6.210526316,0.526315789,2.919595958,1.192613036,9.573394552,8.02117984,1.633609482,5.860271172,4.910096281,0.031190051,0.031190051,6.210526316,8.848111672
