DSH[K],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
3.454545455,0.463636364,2888901.468,1201592.639,9484.201581,7981.588427,1609.50749,5.892611024,4.959025339,0.032059073,0.032059073,3.454545455,-5.746836115
3.181818182,0.463636364,2889906.06,1201477.206,9486.648532,7986.235362,1610.130114,5.891852125,4.959993788,0.03212063,0.03212063,3.181818182,-5.737728751
3.181818182,0.472727273,2895577.228,1200189.705,9511.266465,8006.981385,1614.344354,5.89172096,4.959896795,0.032085104,0.032085104,3.181818182,-6.26701499
3.090909091,0.463636364,2890241.944,1201438.637,9487.465794,7987.786815,1610.34187,5.891584868,4.960304991,0.032141251,0.032141251,3.090909091,-5.734664496
3.090909091,0.472727273,2895915.73,1200149.273,9512.115199,8008.563309,1614.55218,5.891488249,4.960238143,0.032105641,0.032105641,3.090909091,-6.264324936
3,0.463636364,2890578.342,1201400.024,9488.283844,7989.339483,1610.553654,5.891318068,4.96061678,0.032161924,0.032161924,3,-5.7315856
3,0.472727273,2896254.752,1200108.79,9512.96482,8010.146566,1614.760065,5.891255937,4.960580051,0.032126229,0.032126229,3,-6.261620949
2.909090909,0.463636364,2890915.257,1201361.368,9489.102675,7990.893362,1610.764156,5.891056517,4.960933191,0.032182647,0.032182647,2.909090909,-5.728491966
2.909090909,0.472727273,2896594.299,1200068.256,9513.815329,8011.731163,1614.968007,5.891024027,4.960922526,0.032146869,0.032146869,2.909090909,-6.258902936
3.545454545,0.481818182,2900095.224,1199193.215,9530.535221,8019.334108,1617.81281,5.890999975,4.956898635,0.031971635,0.031971635,3.545454545,-6.768696658
3.181818182,0.454545455,2884389.934,1202854.996,9460.680049,7964.052871,1606.005283,5.890815023,4.958920717,0.032158654,0.032158654,3.181818182,-5.183240159
2.818181818,0.463636364,2891252.689,1201322.669,9489.922284,7992.448442,1610.972615,5.89080298,4.961256551,0.032203423,0.032203423,2.818181818,-5.7253835
2.818181818,0.472727273,2896934.371,1200027.67,9514.666724,8013.317107,1615.176004,5.890792522,4.961265576,0.03216756,0.03216756,2.818181818,-6.256170804
5.818181818,0.463636364,2879285.689,1200196.517,9449.753855,7928.876839,1604.167499,5.890752592,4.942673905,0.031479787,0.031479787,5.818181818,-5.846023649
6.090909091,0.463636364,2878358.795,1200145.858,9446.541983,7923.468577,1603.630497,5.890722335,4.940956531,0.031418128,0.031418128,6.090909091,-5.857374261
5.727272727,0.463636364,2879631.815,1200213.054,9450.85369,7930.684911,1604.371345,5.89068966,4.943172875,0.031500425,0.031500425,5.727272727,-5.842802825
6,0.463636364,2878706.296,1200162.601,9447.641836,7925.2738,1603.835883,5.890653735,4.94144936,0.03143863,0.03143863,6,-5.854236306
5.636363636,0.463636364,2879978.405,1200229.519,9451.954193,7932.494,1604.575296,5.890626772,4.943672025,0.031521108,0.031521108,5.636363636,-5.83956852
5.909090909,0.463636364,2879054.27,1200179.274,9448.742384,7927.080019,1604.041386,5.89058516,4.941942327,0.031459178,0.031459178,5.909090909,-5.851085218
5.545454545,0.463636364,2880325.461,1200245.91,9453.055365,7934.30411,1604.779352,5.890563929,4.94417136,0.031541837,0.031541837,5.545454545,-5.836320655
2.727272727,0.472727273,2897274.972,1199987.032,9515.519004,8014.904406,1615.384056,5.890561425,4.961609209,0.032188303,0.032188303,2.727272727,-6.253424457
