DSH_target,DSC_target,f_comp,P_cond [MPa],P_eva [MPa],Q_cond [kW],Q_eva [kW],W_comp [kW],COP_H,COP_R,mtot [kg],mdot [kg/s],DSH [K],DSC [K]
1.0,1.0,25.0,,,,,,,,,,,
1.0,1.0,26.041666666666668,,,,,,,,,,,
1.0,1.0,27.083333333333332,,,,,,,,,,,
1.0,1.0,28.125,,,,,,,,,,,
1.0,1.0,29.166666666666668,,,,,,,,,,,
1.0,1.0,30.208333333333336,,,,,,,,,,,
1.0,1.0,31.25,,,,,,,,,,,
1.0,1.0,32.291666666666664,2.5805459730388094,1.4927200205894877,7.036110167827305,6.513498266299397,0.6098761324045183,11.536949544305822,10.680034715605377,-999999.0,0.026503678339279895,1.0,1.0
1.0,1.0,33.333333333333336,2.591662098413727,1.485810299194673,7.228143749759065,6.681258437103674,0.6373020619259551,11.341786229147438,10.483660474771751,-999999.0,0.027223469538215406,1.0,1.0
1.0,1.0,34.375,2.6026237392801725,1.479003777276902,7.4185733469725665,6.847096997704157,0.6650176072666695,11.155454029952844,10.296113851551748,-999999.0,0.027937028837653394,1.0,1.0
1.0,1.0,35.41666666666667,2.6135255189266227,1.4723003775132217,7.607411408300823,7.010993839024075,0.6930544484595156,10.976643213545733,10.116079414262094,-999999.0,0.02864454937868757,1.0,1.0
1.0,1.0,36.458333333333336,2.6244556415413474,1.4657001405762133,7.794668791291355,7.172926096995838,0.7214454234734023,10.804239014732238,9.942437589335244,-999999.0,0.02934622598829352,1.0,1.0
1.0,1.0,37.5,2.6351963182427607,1.4591937269572284,7.980437477344637,7.333101435734858,0.7500775544823899,10.639483116984804,9.776457636830969,-999999.0,0.030042047409879525,1.0,1.0
1.0,1.0,38.54166666666667,2.6458805983462925,1.4527826934644408,8.164714691166509,7.491462115563645,0.7790045272589569,10.480959231257962,9.616711910421712,-999999.0,0.030732224979835986,1.0,1.0
1.0,1.0,39.583333333333336,2.6565097828932362,1.4464646723283456,8.347531306007193,7.648047015217558,0.8082185729085672,10.328309179986562,9.462844917921444,-999999.0,0.03141688252494909,1.0,1.0
1.0,1.0,40.625,2.6671711470663055,1.4402402126369158,8.528892605568931,7.802823476610065,0.8377568037926252,10.180630663884335,9.313948202253625,-999999.0,0.03209620682830141,1.0,1.0
1.0,1.0,41.66666666666667,2.677649664629105,1.4340999974528603,8.708889526594877,7.956004356541841,0.8675003205360456,10.039062027335602,9.171183189449046,-999999.0,0.032770146066893636,1.0,1.0
1.0,1.0,42.708333333333336,2.688076138963193,1.4280461205860757,8.88751328359333,8.107520570764194,0.8975081248018656,9.902432120662242,9.033367327514739,-999999.0,0.033438909621083666,1.0,1.0
1.0,1.0,43.75,2.698451725948333,1.4220765296855393,9.064791171600598,8.257406339580253,0.9277735355671917,9.77047827308295,8.900239145679135,-999999.0,0.034102605863728194,1.0,1.0
1.0,1.0,44.79166666666667,2.7087948274938753,1.4161804284321886,9.240981132998071,8.405916319726906,0.9583037056847852,9.643061044405172,8.771662125338649,-999999.0,0.03476111042505231,1.0,1.0
1.0,1.0,45.833333333333336,2.719101893589984,1.4103840122084301,9.415398938985978,8.552375849844271,0.9890783071928279,9.519366536011166,8.646813692757418,-999999.0,0.03541525730412294,1.0,1.0
1.0,1.0,46.875,2.7292879540160904,1.4046541482802295,9.588806824032089,8.697602824802576,1.0200542757349897,9.40029080033312,8.526607879306821,-999999.0,0.03606432844555896,1.0,1.0
1.0,1.0,47.91666666666667,2.7394268396317702,1.3990009904404708,9.760969687253517,8.841327166220024,1.0512623060706765,9.284999215597564,8.410200874857223,-999999.0,0.036708730039993684,1.0,1.0
1.0,1.0,48.958333333333336,2.7495195226310556,1.39342281621017,9.93191075586765,8.983577981037067,1.0826967966037337,9.173307602851182,8.297408849104642,-999999.0,0.037348554902758485,1.0,1.0
1.0,1.0,50.0,2.7596239352565552,1.3879200403636056,10.101634332908896,9.124330324321097,1.1143865511954454,9.06474896172471,8.187760624473686,-999999.0,0.037983953309105534,1.0,1.0
1.0,1.4736842105263157,25.0,,,,,,,,,,,
1.0,1.4736842105263157,26.041666666666668,,,,,,,,,,,
1.0,1.4736842105263157,27.083333333333332,,,,,,,,,,,
1.0,1.4736842105263157,28.125,,,,,,,,,,,
1.0,1.4736842105263157,29.166666666666668,,,,,,,,,,,
1.0,1.4736842105263157,30.208333333333336,,,,,,,,,,,
1.0,1.4736842105263157,31.25,,,,,,,,,,,
1.0,1.4736842105263157,32.291666666666664,2.5823499061930577,1.4918932959547946,7.056889602030393,6.533461411273295,0.6109910908299603,11.5499058954271,10.693218787197614,-999999.0,0.026488004745404792,1.0,1.4736842105263157
1.0,1.4736842105263157,33.333333333333336,2.593507851346179,1.4849652073431034,7.249481364012201,6.701738322408836,0.6384678054401733,11.354497912411189,10.496595545312601,-999999.0,0.02720694721198454,1.0,1.4736842105263157
1.0,1.4736842105263157,34.375,2.6045072449983855,1.4781406375110713,7.440462630102202,6.868088453270655,0.6662327190288561,11.167963412166099,10.308842926961056,-999999.0,0.027919643179595957,1.0,1.4736842105263157
1.0,1.4736842105263157,35.41666666666667,2.6154465774346085,1.471419593004232,7.629845365644878,7.032489532099573,0.6943191330061022,10.988960267609135,10.128612618885972,-999999.0,0.028626288113759064,1.0,1.4736842105263157
1.0,1.4736842105263157,36.458333333333336,2.626418124830271,1.4648021934487152,7.817640179277456,7.194916576695336,0.7227617701686423,10.816344336327255,9.954755320022727,-999999.0,0.029327079255238187,1.0,1.4736842105263157
1.0,1.4736842105263157,37.5,2.6371959116895693,1.4582788966712157,8.003940162372219,7.355582196751397,0.751443839774579,10.65141496771505,9.788598704805343,-999999.0,0.03002200179970171,1.0,1.4736842105263157
1.0,1.4736842105263157,38.54166666666667,2.647917114883933,1.4518513371733082,8.188742361540445,7.514426598619092,0.7804208795657299,10.492725881574469,9.628684720481264,-999999.0,0.030711269335112895,1.0,1.4736842105263157
1.0,1.4736842105263157,39.583333333333336,2.6585830426088215,1.4455171299207317,8.372077880973588,7.671488957444987,0.809685100867338,10.339918410262685,9.4746574306817,-999999.0,0.031395005938679034,1.0,1.4736842105263157
1.0,1.4736842105263157,40.625,2.6692852121117134,1.4392769337162754,8.553951381683419,7.826733779327811,0.8392757421916807,10.192063170258765,9.325580838174966,-999999.0,0.03207340159816496,1.0,1.4736842105263157
1.0,1.4736842105263157,41.66666666666667,2.6798000444714996,1.4331211976820755,8.734455187456557,7.980379704611859,0.8690696029681421,10.050351729741422,9.182670383771782,-999999.0,0.032746399645309864,1.0,1.4736842105263157
1.0,1.4736842105263157,42.708333333333336,2.6902626646392456,1.4270521065218351,8.913580288509854,8.132355264600523,0.8991277967895419,9.913585499566365,9.044715660708304,-999999.0,0.03341421209990562,1.0,1.4736842105263157
1.0,1.4736842105263157,43.75,2.7006742207236023,1.4210675999894704,9.091353978821914,8.282694760356637,0.9294436165318786,9.781501338128878,8.911454781154605,-999999.0,0.03407694768634635,1.0,1.4736842105263157
1.0,1.4736842105263157,44.79166666666667,2.711035818732032,1.4151656858514872,9.26780273043924,8.431431474533923,0.9600105930744098,9.65385465254017,8.782644207635746,-999999.0,0.03473471162861025,1.0,1.4736842105263157
1.0,1.4736842105263157,45.833333333333336,2.7214002137714552,1.4093462442091242,9.442936600663291,8.57855214305167,0.9908516507915492,9.530121479960933,8.657756321240047,-999999.0,0.035387653863212284,1.0,1.4736842105263157
1.0,1.4736842105263157,46.875,2.7316216881695667,1.4036023077444844,9.616824582253523,8.724216882295398,1.0218780246750692,9.410931980175839,8.53743467579653,-999999.0,0.03603573751830712,1.0,1.4736842105263157
1.0,1.4736842105263157,47.91666666666667,2.74179582914961,1.3979353385942983,9.789462631784762,8.868374020142312,1.0531364165487023,9.295531403107688,8.42091668352463,-999999.0,0.03667914310780566,1.0,1.4736842105263157
1.0,1.4736842105263157,48.958333333333336,2.7519236139391876,1.3923436031659944,9.960874121352026,9.01105285774615,1.0846212126207884,9.183735303575153,8.308018276696426,-999999.0,0.037317963597847024,1.0,1.4736842105263157
