DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
1.0,1.0,2759625.291821853,1387923.587889678,10101.62616833795,9124.285334475311,1136.2065910088184,8.890659716529976,8.03048090609474,,0.03798365789407914,1.0,1.0
1.0,1.4736842105263157,2762068.597492142,1386831.409783489,10131.049924855834,9152.174473521638,1124.2084474352368,9.011718376577544,8.140994220779394,,0.037952054674024294,1.0,1.4736842105263157
1.0,1.9473684210526314,2764664.2964711157,1385753.8984409447,10160.204356751503,9179.705102075779,1119.3248750887717,9.077082608340778,8.201108816908722,,0.03792088017021277,1.0,1.9473684210526314
1.0,2.4210526315789473,2767433.0861618416,1384688.6221066022,10189.122563675008,9206.93905687144,1120.5811543677373,9.092712762445117,8.21621800526018,,0.037890437273347725,1.0,2.4210526315789473
1.0,2.894736842105263,2770477.0260001556,1383644.271760244,10217.724366182254,9233.652939966645,1122.8933798973421,9.099460865212675,8.223089658619957,,0.037860240481242105,1.0,2.894736842105263
1.0,3.3684210526315788,2773665.22113452,1382613.0869603301,10246.087213319208,9260.044813356079,1125.2833005975538,9.105340146679755,8.229078675955433,,0.0378304284925578,1.0,3.3684210526315788
1.0,3.8421052631578947,2777093.989270252,1381598.0885878203,10274.191372589381,9286.036686233589,1127.80809781398,9.109875512069607,8.233702794147893,,0.037801088468357336,1.0,3.8421052631578947
1.0,4.315789473684211,2780694.025194423,1380596.4797131405,10302.065231088118,9311.69964064937,1130.4260740533316,9.113435604106638,8.237336217184655,,0.037772139386323164,1.0,4.315789473684211
1.0,4.789473684210526,2784772.0316075175,1379618.496658237,10329.631718750135,9336.770636817177,1133.3190788121597,9.114495566047207,8.23843065150118,,0.037743876889502065,1.0,4.789473684210526
1.0,5.263157894736842,2789154.1503749997,1378657.64904837,10356.949477215681,9361.415249645717,1136.3828059704801,9.113961794213141,8.237906452351673,,0.037716113183477375,1.0,5.263157894736842
1.0,5.7368421052631575,2794005.984479144,1377719.1646774851,10383.982963637241,9385.49860623355,1139.714490284514,9.111038819068645,8.234955935227768,,0.037688999106621386,1.0,5.7368421052631575
1.0,6.2105263157894735,2799279.53380197,1376800.9277296632,10410.75513383465,9409.074205895779,1143.2844000524356,9.106006461172015,8.229863195425601,,0.037662473298835854,1.0,6.2105263157894735
1.0,6.684210526315789,2805199.138343278,1375910.0061576713,10437.217398141776,9431.959673796486,1147.2234719112357,9.097806707836725,8.221553955902905,,0.03763673968544549,1.0,6.684210526315789
1.0,7.157894736842105,2811776.678781991,1375046.2111665555,10463.378268949313,9454.15886424486,1151.536430702313,9.086450059220255,8.210038876910602,,0.03761179253246602,1.0,7.157894736842105
1.0,7.63157894736842,2819136.5283654802,1374213.075796806,10489.217827911654,9475.579950777863,1156.293744593698,9.0714127590454,8.194786138973209,,0.03758773358852201,1.0,7.63157894736842
1.0,8.105263157894736,2827413.3496788777,1373414.3699379808,10514.7150879018,9496.124883630215,1161.570939186963,9.052150611878716,8.175243167048404,,0.037564671405253144,1.0,8.105263157894736
1.0,8.578947368421051,2836917.648024136,1372659.4791718076,10539.808068782584,9515.550950649204,1167.5449171289256,9.027325556519665,8.150051283721577,,0.03754287662528323,1.0,8.578947368421051
1.0,9.052631578947368,2847717.847522364,1371949.6889812094,10564.496178729916,9533.823662033583,1174.2490783535434,8.996810279419401,8.119081239051342,,0.03752238597345452,1.0,9.052631578947368
1.0,9.526315789473683,2860080.614518987,1371292.597394418,10588.732496788234,9550.745991172489,1181.830393465801,8.959604149065779,8.081316950365654,,0.03750341839317347,1.0,9.526315789473683
1.0,10.0,2874253.2071395046,1370694.9398319826,10612.47725705148,9566.142934690804,1190.4213749050693,8.914891382807854,8.035930080181616,,0.03748616788300219,1.0,10.0
1.4736842105263157,1.0,2757977.64627073,1388137.5710771554,10095.25685311845,9110.620959003305,1135.1737168380566,8.893138295377424,8.025750441421664,,0.037842523034020754,1.4736842105263157,1.0
1.4736842105263157,1.4736842105263157,2760413.91439497,1387049.3324284942,10124.57419101976,9138.406773644814,1124.117205131806,9.006689111063489,8.129407442503569,,0.037811210935725606,1.4736842105263157,1.4736842105263157
1.4736842105263157,1.9473684210526314,2763002.615497293,1385975.694092062,10153.623976876843,9165.835702818396,1118.971434755168,9.074068972188254,8.191304458834455,,0.0377803231464237,1.4736842105263157,1.9473684210526314
1.4736842105263157,2.4210526315789473,2765762.639763236,1384915.4780944,10182.425657430505,9192.93736653111,1119.5907730382671,9.09477453962768,8.210979929375409,,0.03775002081157629,1.4736842105263157,2.4210526315789473
1.4736842105263157,2.894736842105263,2768799.0031456063,1383874.8630990684,10210.926436362313,9219.552896911753,1121.8992800425365,9.101464470121746,8.21780801620819,,0.03772009790070906,1.4736842105263157,2.894736842105263
