CA,charge_target,P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
3.37E-07,0.436842105,,,,,,,,,,,
3.37E-07,0.452631579,,,,,,,,,,,
3.37E-07,0.468421053,,,,,,,,,,,
3.37E-07,0.484210526,,,,,,,,,,,
3.37E-07,0.5,,,,,,,,,,,
3.84E-07,0.2,,,,,,,,,,,
3.84E-07,0.215789474,,,,,,,,,,,
3.84E-07,0.231578947,,,,,,,,,,,
3.84E-07,0.247368421,,,,,,,,,,,
3.84E-07,0.263157895,,,,,,,,,,,
3.84E-07,0.278947368,,,,,,,,,,,
3.84E-07,0.294736842,,,,,,,,,,,
3.84E-07,0.310526316,,,,,,,,,,,
3.84E-07,0.326315789,,,,,,,,,,,
3.84E-07,0.342105263,,,,,,,,,,,
3.84E-07,0.357894737,,,,,,,,,,,
3.84E-07,0.373684211,,,,,,,,,,,
3.84E-07,0.389473684,,,,,,,,,,,
3.84E-07,0.405263158,,,,,,,,,,,
3.84E-07,0.421052632,,,,,,,,,,,
3.84E-07,0.436842105,,,,,,,,,,,
3.84E-07,0.452631579,,,,,,,,,,,
3.84E-07,0.468421053,,,,,,,,,,,
3.84E-07,0.484210526,,,,,,,,,,,
3.84E-07,0.5,,,,,,,,,,,
4.32E-07,0.2,,,,,,,,,,,
4.32E-07,0.215789474,,,,,,,,,,,
4.32E-07,0.231578947,,,,,,,,,,,
4.32E-07,0.247368421,,,,,,,,,,,
4.32E-07,0.263157895,,,,,,,,,,,
4.32E-07,0.278947368,,,,,,,,,,,
4.32E-07,0.294736842,,,,,,,,,,,
4.32E-07,0.310526316,,,,,,,,,,,
4.32E-07,0.326315789,,,,,,,,,,,
4.32E-07,0.342105263,,,,,,,,,,,
4.32E-07,0.357894737,,,,,,,,,,,
4.32E-07,0.373684211,,,,,,,,,,,
4.32E-07,0.389473684,,,,,,,,,,,
4.32E-07,0.405263158,,,,,,,,,,,
4.32E-07,0.421052632,,,,,,,,,,,
4.32E-07,0.436842105,,,,,,,,,,,
4.32E-07,0.452631579,,,,,,,,,,,
4.32E-07,0.468421053,,,,,,,,,,,
4.32E-07,0.484210526,,,,,,,,,,,
4.32E-07,0.5,,,,,,,,,,,
4.79E-07,0.2,,,,,,,,,,,
4.79E-07,0.215789474,,,,,,,,,,,
4.79E-07,0.231578947,,,,,,,,,,,
4.79E-07,0.247368421,,,,,,,,,,,
4.79E-07,0.263157895,,,,,,,,,,,
4.79E-07,0.278947368,,,,,,,,,,,
4.79E-07,0.294736842,,,,,,,,,,,
