DSH[K],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
1.0,0.1,,,,,,,,,,,
1.0,0.12105263157894737,,,,,,,,,,,
1.0,0.14210526315789473,,,,,,,,,,,
1.0,0.1631578947368421,2335397.7436391674,1634680.8766307626,2630.436278808598,1799.444329517224,2924.310859726616,0.8995063811562458,0.6153396187454052,0.16315789473067954,0.045248470205442884,1.0,0.0
1.0,0.1842105263157895,2489373.3119707,1498118.3228974463,4688.742272918517,3617.551800125109,1408.4396791098263,3.329033072883842,2.568481883733568,0.18421052631575724,0.04119606668590541,1.0,0.0
1.0,0.20526315789473684,2589540.645530626,1415061.1381498007,5976.006382263187,4776.136108406258,2970.2343401288767,2.011964612194165,1.6079997607862229,0.20526315783547758,0.038770362561477575,1.0,0.0
1.0,0.22631578947368422,2659828.5149702597,1359823.6564223883,6853.520986235106,5575.1282349409585,1369.1077108372422,5.005830390104233,4.072088843566321,0.22631578947341396,0.037172625267229184,1.0,0.0
1.0,0.24736842105263157,2711350.7697885414,1320831.5604620704,7484.198598205718,6153.871517358599,3164.404324041041,2.365120835332499,1.9447172002027595,0.24736842105264617,0.03605178025235797,1.0,0.0
1.0,0.26842105263157895,2750252.3693627985,1292185.826539294,7953.820770407487,6587.240078317352,1492.0602895901438,5.33076366008798,4.414861868702912,0.26842105259792476,0.035231986814736806,1.0,5.684341886080802e-14
1.0,0.2894736842105263,2780303.349141958,1270525.111814201,8312.595964559961,6919.728303769139,1506.7351068844346,5.516959103547012,4.592531409238529,0.28947368420219177,0.03461450163301316,1.0,0.0
1.0,0.31052631578947365,2803954.0826845868,1253793.0760152393,8592.061478866033,7179.474413712388,1530.8582501441065,5.612578093404288,4.6898361837463085,0.310526315783985,0.03413849576435897,1.0,0.0
1.0,0.3315789473684211,2822793.1343297185,1240653.442376243,8812.964884944487,7385.274545791944,1549.4334966972501,5.687862630909991,4.766435320737733,0.3315789488870088,0.03376540513566509,1.0,0.0
1.0,0.3526315789473684,2837846.555854538,1230203.898383987,8989.496741183188,7550.10693322008,1563.902483377721,5.748118464373589,4.8277351135815945,0.3526315778100494,0.0334691426306921,1.0,0.0
1.0,0.37368421052631584,2850099.796314713,1221806.4039647772,9131.997033157553,7683.329968498626,2565.9651526733596,3.558893628638468,2.99432358249048,0.37368421052707473,0.033231341307228136,1.0,0.0
1.0,0.39473684210526316,2860275.4278735016,1215044.4840402436,9247.301029003323,7791.103430401832,2117.725479978059,4.366619335901428,3.6789959341106635,0.39473684206759024,0.033040036580610874,1.0,0.4046835588638942
1.0,0.4157894736842105,2870819.215989044,1209609.7936318803,9341.812912733085,7878.048445996984,1816.4666271890476,5.142848634213219,4.3370179931068344,0.41578947436358177,0.03288639607159614,1.0,2.2676237139062323
1.0,0.4368421052631579,2882261.582123764,1205129.6140904515,9421.727633431194,7949.942804273032,1657.2970606484648,5.684996285303658,4.796932905415514,0.436842105405059,0.032759815919129825,1.0,3.891877699293161
1.0,0.45789473684210524,2894573.560174651,1201410.30883064,9490.044196792247,8009.779143107003,1612.8549763914048,5.884003419839541,4.966211631146186,0.4578947325712566,0.03265478458122962,1.0,5.313797664504023
1.0,0.4789473684210527,2907853.290477526,1198360.9477933436,9548.200479070989,8058.940837080966,1622.2794450421616,5.88566939453692,4.9676650109263525,0.4789473695835644,0.03256892656991793,1.0,6.546403470347116
1.0,0.5,2921895.459612969,1195845.6387598969,9598.255418959623,8099.562882995009,1632.3868390714536,5.879890225296949,4.961791340833318,0.5000000000018177,0.032497965113612956,1.0,7.622451916663863
1.4736842105263157,0.1,,,,,,,,,,,
1.4736842105263157,0.12105263157894737,,,,,,,,,,,
1.4736842105263157,0.14210526315789473,,,,,,,,,,,
1.4736842105263157,0.1631578947368421,2337764.74372106,1628859.4810596567,2694.0474410981683,1851.2158060805623,1980.282295718262,1.3604360584969117,0.934824196571991,0.16315789474001044,0.04488477381788539,1.4736842105263157,0.0
1.4736842105263157,0.1842105263157895,2489950.9227884687,1495094.4646692537,4721.320182780753,3642.9083140644343,1253.3666937516946,3.7669105189387597,2.906498419197769,0.18421052631577803,0.04094213082617309,1.4736842105263157,0.0
1.4736842105263157,0.20526315789473684,2589214.020565802,1413797.77633535,5994.392476336015,4789.209105678164,2333.3792592981995,2.5689747830101664,2.0524777901379796,0.20526315789790833,0.03858212539513083,1.4736842105263157,0.0
1.4736842105263157,0.22631578947368422,2659072.5467210906,1358999.886926987,6865.43251665424,5582.295915650608,1369.1313697917797,5.014443951933078,4.07725367982736,0.2263157899935593,0.037006036872458,1.4736842105263157,0.0
1.4736842105263157,0.24736842105263157,2710311.1844052337,1320285.1486290137,7491.898289859788,6157.147934861407,2456.8720627123625,3.0493644351952156,2.506092208995195,0.2473684210526346,0.03589933424414911,1.4736842105263157,5.684341886080802e-14
1.4736842105263157,0.26842105263157895,2749014.525050152,1291828.1937185188,7958.585716107323,6587.776471076486,1484.6218470858914,5.360682069800422,4.43734307426998,0.26842105260737237,0.03508937890471285,1.4736842105263157,0.0
1.4736842105263157,0.2894736842105263,2778920.4373248257,1270304.3268863927,8315.214506149498,6918.223403141559,1505.9991254033769,5.521393980838,4.593776507863865,0.2894736827243761,0.03447891540006257,1.4736842105263157,0.0
1.4736842105263157,0.31052631578947365,2802445.529917141,1253673.9175086736,8593.038767878252,7176.420735964207,1530.0074697005343,5.616337787919527,4.690448169752292,0.310526315788465,0.03400827817727142,1.4736842105263157,0.0
1.4736842105263157,0.3315789473684211,2821185.6159970234,1240612.2593583264,8812.666143617798,7381.011713550996,1548.4992202630813,5.69110144086516,4.766558237140735,0.331578946516266,0.03363932880002628,1.4736842105263157,0.0
1.4736842105263157,0.3526315789473684,2836262.458196379,1230221.85135353,8988.290291211893,7544.914318733173,1562.9780869378721,5.750746198125793,4.827268137530249,0.3526315789235539,0.033346264555784745,1.4736842105263157,0.0
1.4736842105263157,0.37368421052631584,2848366.6919248723,1221875.0303062706,9129.886837325572,7677.3314739396965,2211.0384170905236,4.129230304980169,3.472274119977615,0.3736842105270841,0.03311111343710744,1.4736842105263157,0.0
1.4736842105263157,0.39473684210526316,2858499.779731047,1215152.6675822986,9244.532814593062,7784.46990308431,1961.8937327231756,4.712045642635972,3.9678346350998326,0.3947368419470715,0.032921902044938806,1.4736842105263157,0.4353646050656721
1.4736842105263157,0.4157894736842105,2869036.107203875,1209751.7203976086,9338.50115311644,7870.869444775416,1764.1487356771797,5.2934885615139455,4.461567942429827,0.4157894740628835,0.0327699953329672,1.4736842105263157,2.2947623074638273
1.4736842105263157,0.4368421052631579,2880469.263633298,1205301.4365038553,9417.931595228143,7942.277976881214,1648.0824279823692,5.71447849653846,4.819102395627374,0.43684210531325846,0.032644900554934846,1.4736842105263157,3.914996957010487
1.4736842105263157,0.45789473684210524,2892784.270126573,1201631.9807460727,9485.449277910264,8001.305814508083,1612.2550057888832,5.883343046758905,4.962804138166103,0.45789473581682566,0.032541803843004126,1.4736842105263157,5.3249250439402545
1.4736842105263157,0.4789473684210527,2906024.0359196546,1198584.0111439566,9543.573083779922,8050.43880173674,1621.188925470562,5.886774165453807,4.965762271907971,0.47894737118650893,0.032456312227612305,1.4736842105263157,6.560731513632106
1.4736842105263157,0.5,2920174.8979289806,1196089.0448228016,9593.377105071118,8090.72692512669,1631.3743257122742,5.880549273007931,4.959454612965175,0.5000000000001378,0.03238627581805684,1.4736842105263157,7.634426292980095
1.9473684210526314,0.1,,,,,,,,,,,
1.9473684210526314,0.12105263157894737,,,,,,,,,,,
1.9473684210526314,0.14210526315789473,,,,,,,,,,,
