CA[m^2],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.1181818181818186e-07,0.24141414141414141,,,,,,,,,,,
2.1181818181818186e-07,0.24545454545454545,,,,,,,,,,,
2.1181818181818186e-07,0.2494949494949495,,,,,,,,,,,
2.1181818181818186e-07,0.2535353535353535,,,,,,,,,,,
2.1181818181818186e-07,0.25757575757575757,,,,,,,,,,,
2.1181818181818186e-07,0.26161616161616164,,,,,,,,,,,
2.1181818181818186e-07,0.2656565656565657,,,,,,,,,,,
2.1181818181818186e-07,0.2696969696969697,,,,,,,,,,,
2.1181818181818186e-07,0.2737373737373737,,,,,,,,,,,
2.1181818181818186e-07,0.2777777777777778,,,,,,,,,,,
2.1181818181818186e-07,0.28181818181818186,,,,,,,,,,,
2.1181818181818186e-07,0.28585858585858587,,,,,,,,,,,
2.1181818181818186e-07,0.2898989898989899,,,,,,,,,,,
2.1181818181818186e-07,0.29393939393939394,,,,,,,,,,,
2.1181818181818186e-07,0.297979797979798,,,,,,,,,,,
2.1181818181818186e-07,0.302020202020202,,,,,,,,,,,
2.1181818181818186e-07,0.30606060606060603,,,,,,,,,,,
2.1181818181818186e-07,0.3101010101010101,,,,,,,,,,,
2.1181818181818186e-07,0.31414141414141417,,,,,,,,,,,
2.1181818181818186e-07,0.3181818181818182,,,,,,,,,,,
2.1181818181818186e-07,0.3222222222222222,,,,,,,,,,,
2.1181818181818186e-07,0.32626262626262625,,,,,,,,,,,
2.1181818181818186e-07,0.3303030303030303,,,,,,,,,,,
2.1181818181818186e-07,0.3343434343434344,,,,,,,,,,,
2.1181818181818186e-07,0.3383838383838384,,,,,,,,,,,
2.1181818181818186e-07,0.3424242424242424,,,,,,,,,,,
2.1181818181818186e-07,0.3464646464646465,,,,,,,,,,,
2.1181818181818186e-07,0.35050505050505054,,,,,,,,,,,
2.1181818181818186e-07,0.3545454545454545,,,,,,,,,,,
2.1181818181818186e-07,0.35858585858585856,,,,,,,,,,,
2.1181818181818186e-07,0.36262626262626263,,,,,,,,,,,
2.1181818181818186e-07,0.3666666666666667,,,,,,,,,,,
2.1181818181818186e-07,0.37070707070707076,,,,,,,,,,,
2.1181818181818186e-07,0.3747474747474747,,,,,,,,,,,
2.1181818181818186e-07,0.3787878787878788,,,,,,,,,,,
2.1181818181818186e-07,0.38282828282828285,,,,,,,,,,,
