CA[m^2],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
1e-07,0.1,,,,,,,,,,,
1e-07,0.12105263157894737,,,,,,,,,,,
1e-07,0.14210526315789473,,,,,,,,,,,
1e-07,0.1631578947368421,,,,,,,,,,,
1e-07,0.1842105263157895,,,,,,,,,,,
1e-07,0.20526315789473684,,,,,,,,,,,
1e-07,0.22631578947368422,,,,,,,,,,,
1e-07,0.24736842105263157,,,,,,,,,,,
1e-07,0.26842105263157895,,,,,,,,,,,
1e-07,0.2894736842105263,,,,,,,,,,,
1e-07,0.31052631578947365,,,,,,,,,,,
1e-07,0.3315789473684211,,,,,,,,,,,
1e-07,0.3526315789473684,,,,,,,,,,,
1e-07,0.37368421052631584,,,,,,,,,,,
1e-07,0.39473684210526316,,,,,,,,,,,
1e-07,0.4157894736842105,,,,,,,,,,,
1e-07,0.4368421052631579,,,,,,,,,,,
1e-07,0.45789473684210524,,,,,,,,,,,
1e-07,0.4789473684210527,,,,,,,,,,,
1e-07,0.5,,,,,,,,,,,
6.210526315789473e-07,0.1,,,,,,,,,,,
6.210526315789473e-07,0.12105263157894737,,,,,,,,,,,
6.210526315789473e-07,0.14210526315789473,,,,,,,,,,,
6.210526315789473e-07,0.1631578947368421,,,,,,,,,,,
6.210526315789473e-07,0.1842105263157895,,,,,,,,,,,
6.210526315789473e-07,0.20526315789473684,,,,,,,,,,,
6.210526315789473e-07,0.22631578947368422,,,,,,,,,,,
6.210526315789473e-07,0.24736842105263157,,,,,,,,,,,
6.210526315789473e-07,0.26842105263157895,,,,,,,,,,,
6.210526315789473e-07,0.2894736842105263,,,,,,,,,,,
6.210526315789473e-07,0.31052631578947365,,,,,,,,,,,
6.210526315789473e-07,0.3315789473684211,,,,,,,,,,,
6.210526315789473e-07,0.3526315789473684,,,,,,,,,,,
6.210526315789473e-07,0.37368421052631584,,,,,,,,,,,
6.210526315789473e-07,0.39473684210526316,,,,,,,,,,,
6.210526315789473e-07,0.4157894736842105,,,,,,,,,,,
6.210526315789473e-07,0.4368421052631579,,,,,,,,,,,
6.210526315789473e-07,0.45789473684210524,,,,,,,,,,,
6.210526315789473e-07,0.4789473684210527,,,,,,,,,,,
6.210526315789473e-07,0.5,,,,,,,,,,,
1.1421052631578947e-06,0.1,,,,,,,,,,,
1.1421052631578947e-06,0.12105263157894737,,,,,,,,,,,
1.1421052631578947e-06,0.14210526315789473,,,,,,,,,,,
1.1421052631578947e-06,0.1631578947368421,,,,,,,,,,,
1.1421052631578947e-06,0.1842105263157895,2483355.2541444968,1016601.411150513,5403.284915869598,4009.4992990351957,1393.7857974347028,3.8766967821127736,2.876696911688136,0.18420436490245534,0.02442888396419907,19.834393553295214,0.0
1.1421052631578947e-06,0.20526315789473684,2552606.156595494,1097396.7023362543,6190.648496732396,4775.4773064760675,1415.1789280638573,4.374463450499494,3.3744689182233096,0.2052631598367283,0.026737215513272405,17.289228521122325,5.684341886080802e-14
1.1421052631578947e-06,0.22631578947368422,2616166.6561807995,1171565.4944655395,6890.079958486133,5458.338975455906,1431.9521220565978,4.811669225777232,3.8118166741612365,0.22631495105350427,0.028925494329972268,15.054100000614548,0.0
1.1421052631578947e-06,0.24736842105263157,2674710.850778085,1237759.9735805364,7506.21401021394,6064.150071901291,1446.1788174559508,5.190377510450966,4.19322285647155,0.2473777518449604,0.031011115640723397,12.767027808812335,0.0
