DSH_target,DSC_target,P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
1.0,1.0,2759625.2918218337,1387923.5878896925,10101.626168337996,9124.285334475091,1136.2065910090255,8.890659716528395,8.030480906093082,0.03798365789407956,0.03798365789407956,1.0,1.0
1.0,1.4736842105263157,2762068.597492149,1386831.409783496,10131.049924855879,9152.174473521534,1124.2084474352914,9.011718376577146,8.140994220778905,0.037952054674024495,0.037952054674024495,1.0,1.4736842105263157
1.0,1.9473684210526314,2764664.296471112,1385753.8984409447,10160.204356751503,9179.705102075779,1119.3248750887717,9.077082608340778,8.201108816908722,0.03792088017021277,0.03792088017021277,1.0,1.9473684210526314
1.0,2.4210526315789473,2767433.0861618384,1384688.6221066026,10189.122563675006,9206.939056871443,1120.5811543677357,9.09271276244513,8.216218005260194,0.037890437273347746,0.037890437273347746,1.0,2.4210526315789473
1.0,2.894736842105263,2770477.0260001523,1383644.2717602435,10217.724366182241,9233.652939966722,1122.8933798973362,9.099460865212711,8.223089658620069,0.037860240481242126,0.037860240481242126,1.0,2.894736842105263
1.0,3.3684210526315788,2773665.221134518,1382613.0869603294,10246.087213319206,9260.044813356071,1125.2833005975551,9.105340146679742,8.229078675955417,0.03783042849255777,0.03783042849255777,1.0,3.3684210526315788
1.0,3.8421052631578947,2777093.9892702587,1381598.08858782,10274.191372589381,9286.03668623359,1127.808097813984,9.109875512069575,8.233702794147867,0.037801088468357315,0.037801088468357315,1.0,3.8421052631578947
1.0,4.315789473684211,2780694.025194435,1380596.479713134,10302.065231088265,9311.69964064954,1130.426074053328,9.113435604106796,8.237336217184831,0.03777213938632297,0.03777213938632297,1.0,4.315789473684211
1.0,4.789473684210526,2784772.0316075133,1379618.4966582377,10329.631718750126,9336.770636817178,1133.3190788121472,9.114495566047301,8.238430651501272,0.037743876889502086,0.037743876889502086,1.0,4.789473684210526
1.0,5.263157894736842,2789154.1503750207,1378657.649048365,10356.94947721585,9361.41524964581,1136.3828059705086,9.113961794213063,8.237906452351549,0.03771611318347722,0.03771611318347722,1.0,5.263157894736842
1.0,5.7368421052631575,2794005.9844791447,1377719.1646774812,10383.982963637216,9385.49860623367,1139.7144902845018,9.111038819068721,8.234955935227962,0.03768899910662127,0.03768899910662127,1.0,5.7368421052631575
1.0,6.2105263157894735,2799279.5338019696,1376800.9277296632,10410.755133834642,9409.074205895779,1143.2844000524312,9.106006461172043,8.229863195425633,0.037662473298835854,0.037662473298835854,1.0,6.2105263157894735
1.0,6.684210526315789,2805199.138343279,1375910.0061576713,10437.21739814177,9431.959673796486,1147.2234719112314,9.097806707836755,8.221553955902936,0.03763673968544549,0.03763673968544549,1.0,6.684210526315789
1.0,7.157894736842105,2811776.678781998,1375046.2111665518,10463.378268949407,9454.158864244944,1151.5364307023274,9.086450059220223,8.210038876910572,0.03761179253246592,0.03761179253246592,1.0,7.157894736842105
1.0,7.63157894736842,2819136.528365481,1374213.0757968032,10489.217827911732,9475.579950777947,1156.293744593716,9.071412759045327,8.194786138973154,0.037587733588521945,0.037587733588521945,1.0,7.63157894736842
1.0,8.105263157894736,2827413.3496788777,1373414.3699379808,10514.7150879018,9496.124883630215,1161.570939186963,9.052150611878716,8.175243167048404,0.037564671405253144,0.037564671405253144,1.0,8.105263157894736
1.0,8.578947368421051,2836917.6480241357,1372659.4791718074,10539.808068782559,9515.5509506492,1167.5449171289033,9.027325556519814,8.15005128372173,0.03754287662528322,0.03754287662528322,1.0,8.578947368421051
1.0,9.052631578947368,2847717.8475223645,1371949.6889812096,10564.49617872993,9533.823662033585,1174.2490783535568,8.99681027941931,8.119081239051251,0.037522385973454524,0.037522385973454524,1.0,9.052631578947368
1.0,9.526315789473683,2860080.614518987,1371292.597394418,10588.732496788234,9550.745991172489,1181.830393465801,8.959604149065779,8.081316950365654,0.03750341839317347,0.03750341839317347,1.0,9.526315789473683
1.0,10.0,2874253.2071395046,1370694.9398319826,10612.47725705148,9566.142934690804,1190.4213749050693,8.914891382807854,8.035930080181616,0.03748616788300219,0.03748616788300219,1.0,10.0
1.4736842105263157,1.0,2757977.646270729,1388137.5710771554,10095.256853118446,9110.620959003305,1135.1737168380523,8.893138295377454,8.025750441421696,0.037842523034020754,0.037842523034020754,1.4736842105263157,1.0
1.4736842105263157,1.4736842105263157,2760413.914394952,1387049.3324284921,10124.574191019388,9138.406773644845,1124.1172051317717,9.006689111063434,8.129407442503844,0.037811210935725564,0.037811210935725564,1.4736842105263157,1.4736842105263157
1.4736842105263157,1.9473684210526314,2763002.6154972715,1385975.6940920618,10153.623976876825,9165.835702818387,1118.9714347551633,9.074068972188275,8.191304458834482,0.03778032314642368,0.03778032314642368,1.4736842105263157,1.9473684210526314
1.4736842105263157,2.4210526315789473,2765762.6397632346,1384915.4780944008,10182.425657430224,9192.937366530956,1119.5907730382637,9.094774539627457,8.210979929375297,0.03775002081157632,0.03775002081157632,1.4736842105263157,2.4210526315789473
1.4736842105263157,2.894736842105263,2768799.003145606,1383874.8630990656,10210.926436362295,9219.552896911899,1121.8992800425106,9.101464470121941,8.21780801620851,0.037720097900709,0.037720097900709,1.4736842105263157,2.894736842105263
1.4736842105263157,3.3684210526315788,2771980.605592774,1382847.3851639084,10239.189528534065,9245.847046454566,1124.2861879716518,9.10728036871715,8.223748673044888,0.03769055676003876,0.03769055676003876,1.4736842105263157,3.3684210526315788
